Name,google_rating,google_reviews
Blue Hill at Stone Barns,4.7,1255.0
Aquavit,4.6,1098.0
Aska,4.6,464.0
Atera,4.6,551.0
Jean-Georges,4.5,1331.0
Gabriel Kreuther,4.6,1178.0
minibar,4.8,359.0
Jônt,4.6,241.0
Oriole,4.8,545.0
Ever,4.8,341.0
TURK FATİH TUTAK,4.7,917.0
Gaa,4.4,709.0
Baan Tepa,4.7,290.0
Sühring,4.6,1477.0
Chef's Table,4.5,148.0
Côte by Mauro Colagreco,4.8,469.0
R-Haan,4.3,770.0
Mezzaluna,4.5,286.0
Bardal,4.8,446.0
El Portal de Echaurren,4.6,14.0
El Rincón de Juan Carlos,4.6,473.0
Amelia by Paulo Airaudo,4.3,407.0
El Poblet,4.5,654.0
Retiro da Costiña,4.8,692.0
Ricard Camarena,4.7,1057.0
Deessa,4.6,245.0
Bo.TiC,4.8,1749.0
Coque,4.7,1518.0
Paco Roncero,4.5,470.0
Miramar,4.6,567.0
Smoked Room,4.7,269.0
Cinc Sentits,4.7,780.0
Voro,4.6,87.0
Pepe Vieira,4.6,710.0
Enoteca Paco Pérez,4.4,252.0
El Molino de Urdániz,4.7,791.0
Maralba,4.8,927.0
Alevante,4.7,261.0
L'Escaleta,4.6,939.0
BonAmb,4.7,702.0
DSTAgE,4.5,1749.0
Skina,4.4,263.0
Venta Moncalvillo,4.8,656.0
Cabaña Buenavista,4.7,968.0
Les Cols,4.4,1225.0
Mugaritz,3.8,1082.0
Iván Cerdeño,4.8,1022.0
Culler de Pau,4.7,1109.0
M.B,4.6,3702.0
LÚ Cocina y Alma,4.6,566.0
Bao Li Xuan,,
Canton 8 (Huangpu),4.3,40.0
Da Vittorio,4.5,772.0
The House of Rong,3.8,5.0
Fu He Hui,4.6,51.0
8 ½ Otto e Mezzo Bombana,4.3,31.0
Imperial Treasure Fine Chinese Cuisine,4.1,178.0
Ji Pin Court,4.3,3.0
102 House,,
Dewakan,4.2,405.0
Arnolfo,4.8,526.0
Duomo,4.5,645.0
Harry's Piccolo,4.3,268.0
Torre del Saracino,4.8,669.0
St. George by Heinz Beck,4.9,81.0
Agli Amici,4.7,405.0
La Rei Natura by Michelangelo Mammoliti,4.4,14.0
Caino,4.5,352.0
Seta by Antonio Guida,4.6,545.0
La Madia,4.8,647.0
Madonnina del Pescatore,4.8,822.0
Campo del Drago,,
Castel fine dining,5.0,2.0
Villa Feltrinelli,4.7,312.0
Il Pagliaccio,4.3,509.0
Locanda Sant'Uffizio Enrico Bartolini,4.7,105.0
Santa Elisabetta,4.5,469.0
San Domenico,4.8,802.0
La Peca,4.8,430.0
daní maison,,
Terra The Magic Place,4.9,221.0
Enoteca La Torre,4.6,302.0
Taverna Estia,4.6,415.0
Krèsios,4.7,240.0
Il Piccolo Principe,4.6,139.0
Verso Capitaneo,4.7,123.0
Antica Osteria Cera,4.8,685.0
Antica Corona Reale,4.6,585.0
Glam Enrico Bartolini,4.7,285.0
Andrea Aprea,4.5,62.0
Miramonti l'Altro,4.7,865.0
Acquolina,4.6,322.0
D'O,4.7,1328.0
L'Olivo,4.4,124.0
Magnolia,4.8,559.0
Piazzetta Milù,4.6,330.0
Villa Elena,4.7,42.0
George Restaurant,4.8,166.0
Colonnade,4.8,32.0
Magdalena,4.9,310.0
Skin's - the restaurant,4.8,101.0
La Table du Valrose,4.6,41.0
L'Atelier Robuchon,4.6,254.0
La Table du Lausanne Palace,4.9,169.0
