cuisine_type,google_rating,total_restaurants
"Classic French, Modern Cuisine",4.6,2
"Modern Cuisine, Rice Dishes",4.6,1
"Steakhouse, North American",4.6,1
"Contemporary, Lombardian",4.6,1
"Sardinian, Mediterranean Cuisine",4.6,1
"International, Seafood",4.6,1
"Fusion, Creole",4.6,1
"Sicilian, Country cooking",4.6,1
"Spanish, Catalan",4.6,1
"Asian, German",4.6,1
"International, American",4.6,1
"Farm to table, Piedmontese",4.6,1
"Moroccan, Contemporary",4.6,1
"Mediterranean Cuisine, Classic French",4.6,1
"Modern Cuisine, Corsican",4.6,1
"American, Gastropub",4.6,2
"Peruvian, Farm to table",4.6,1
"Egyptian, Regional Cuisine",4.6,1
"Californian, Creative",4.6,1
"Nepali, Indian",4.6,1
"European, Californian",4.6,1
"Contemporary, Regional European",4.6,1
"French, Creative",4.6,1
"Cuisine from Valtellina, Modern Cuisine",4.6,1
"Contemporary, Piedmontese",4.6,1
"Regional Cuisine, Asian Influences",4.6,2
"Middle Eastern, Vegetarian",4.6,1
"Lebanese, Armenian",4.6,1
"Modern Cuisine, Spanish",4.6,1
"Seasonal Cuisine, Classic Cuisine",4.6,8
"Japanese, Seafood",4.6,2
"Modern Cuisine, German",4.6,1
"Asian Influences, Asian and Western",4.6,1
"Home Cooking, International",4.6,1
"Steakhouse, Italian",4.6,2
"Classic French, Italian Contemporary",4.6,1
"Moroccan, Middle Eastern",4.6,1
"Fusion, Traditional Cuisine",4.6,1
"Fusion, Japanese",4.6,1
"Modern Cuisine, Brazilian",4.6,1
"Contemporary, Middle Eastern",4.6,1
"Contemporary, Caribbean",4.6,1
"Regional Cuisine, Pizza",4.6,1
"Country cooking, German",4.6,1
Ethiopian,4.6,5
"Modern Cuisine, Country cooking",4.595000000000000,20
"Contemporary, French",4.593333333333330,16
"International, Seasonal Cuisine",4.593333333333330,16
Country cooking,4.593023255813950,86
"Seasonal Cuisine, Farm to table",4.590909090909090,22
"International, Classic Cuisine",4.590909090909090,11
Thai contemporary,4.589285714285710,28
"Modern Cuisine, French Contemporary",4.588888888888890,9
"Modern Cuisine, Modern French",4.5875,8
"Country cooking, Regional Cuisine",4.5875,9
"French, Classic Cuisine",4.585714285714290,7
"Modern Cuisine, Fusion",4.585714285714290,7
"Regional Cuisine, Traditional Cuisine",4.5851851851851900,28
"Farm to table, Country cooking",4.585,20
"Mediterranean Cuisine, Classic Cuisine",4.584615384615380,13
"Piedmontese, Traditional Cuisine",4.584375,32
"Modern Cuisine, Asian Influences",4.583333333333330,6
Breton,4.583333333333330,6
South East Asian,4.583333333333330,6
"Contemporary, Californian",4.583333333333330,12
"Japanese, Asian",4.583333333333330,6
"Traditional Cuisine, Mediterranean Cuisine",4.583333333333330,6
"Seasonal Cuisine, International",4.58,10
"Contemporary, Andalusian",4.58,5
"Modern Cuisine, Italian",4.58,5
"Umbrian, Traditional Cuisine",4.58,5
"Piedmontese, Contemporary",4.58,10
"Modern Cuisine, Contemporary",4.579487179487180,39
International,4.578,100
"Regional Cuisine, Seasonal Cuisine",4.576315789473690,39
Contemporary,4.575456389452330,496
"Traditional Cuisine, Creative",4.575,8
Regional Cuisine,4.575,142
Vegan,4.575,12
Asian Contemporary,4.575,17
"Sardinian, Modern Cuisine",4.575,4
"Italian Contemporary, Seafood",4.575,4
Home Cooking,4.575,4
Cuisine from Abruzzo,4.575,4
"Seafood, Grills",4.575,5
"Austrian, International",4.575,5
"Seafood, Italian Contemporary",4.575,4
"Sardinian, Traditional Cuisine",4.575000000000000,4
"Piedmontese, Modern Cuisine",4.573333333333330,15
"Seafood, Modern Cuisine",4.5729729729729700,37
"Modern Cuisine, Turkish",4.571428571428570,7
"Regional Cuisine, Farm to table",4.57,11
"Contemporary, Fusion",4.57,10
Classic Cuisine,4.569585253456220,221
French Contemporary,4.56793893129771,132
"French Contemporary, Farm to table",4.566666666666670,3
Norwegian,4.566666666666670,3
"Mediterranean Cuisine, Greek",4.566666666666670,3
"Country cooking, Mediterranean Cuisine",4.566666666666670,9
"Korean, Modern Cuisine",4.566666666666670,3
"Classic Cuisine, International",4.566666666666670,9
"Ethiopian, Regional Cuisine",4.566666666666670,3
"Mediterranean Cuisine, Asian Influences",4.566666666666670,3
"Meats and Grills, Traditional Cuisine",4.566666666666670,3
"Modern Cuisine, Cuisine from Abruzzo",4.566666666666670,3
"Japanese, Classic Cuisine",4.566666666666670,3
"Contemporary, Mexican",4.566666666666670,9
"Creative, Classic French",4.566666666666670,3
Filipino,4.566666666666670,6
"Piedmontese, Classic Cuisine",4.566666666666670,6
"French, French Contemporary",4.5625,8
"Italian, Seasonal Cuisine",4.5625,8
"Classic Cuisine, Regional Cuisine",4.5625,8
"Contemporary, Modern Cuisine",4.5625,32
Latin American,4.5625,16
"Japanese, Ramen",4.561538461538460,13
"International, Meats and Grills",4.5600000000000000,5
"Classic Cuisine, Country cooking",4.5600000000000000,15
"Barbecue, Regional Cuisine",4.5600000000000000,5
"International, Contemporary",4.5600000000000000,10
"Contemporary, American",4.558620689655170,29
"Regional Cuisine, Contemporary",4.558333333333330,12
"Seasonal Cuisine, Mediterranean Cuisine",4.557142857142860,7
Japanese,4.552975047984650,539
Tempura,4.551162790697670,43
"Cuisine from the Marches, Traditional Cuisine",4.550000000000000,2
"Seasonal Cuisine, French",4.550000000000000,2
"Barbecue, Asian",4.550000000000000,2
"Ligurian, Seafood",4.550000000000000,2
"Contemporary, Galician",4.550000000000000,2
"Seafood, Spanish",4.550000000000000,2
"Japanese, Shabu-shabu",4.550000000000000,2
"Colombian, Contemporary",4.550000000000000,2
"Southern Thai, Contemporary",4.550000000000000,2
"Italian, Italian Contemporary",4.55,4
"Mexican, Mediterranean Cuisine",4.55,2
"Italian Contemporary, Ligurian",4.55,2
"Emilian, Contemporary",4.55,2
"American, Steakhouse",4.55,2
"Venetian, Classic Cuisine",4.55,6
"Sicilian, Contemporary",4.55,8
"Modern Cuisine, Organic",4.55,4
"Chinese, Contemporary",4.55,8
"Classic French, International",4.55,8
"Italian Contemporary, Piedmontese",4.55,2
"Vegetarian, Creative",4.55,4
"Modern French, French Contemporary",4.55,4
"Catalan, Seasonal Cuisine",4.55,2
"Mediterranean Cuisine, Contemporary",4.55,24
"Lombardian, Traditional Cuisine",4.55,8
"Cuban, Regional Cuisine",4.55,2
"Traditional Cuisine, Alsatian",4.55,4
"Indian, Asian",4.55,2
"Contemporary, Southern",4.55,2
"Vegan, Modern Cuisine",4.55,2
"Campanian, Traditional Cuisine",4.55,8
"Mediterranean Cuisine, Middle Eastern",4.55,4
"Classic Cuisine, Grills",4.55,2
Danish,4.55,4
"Mediterranean Cuisine, Traditional Cuisine",4.55,6
"Fusion, Mexican",4.55,4
"Traditional Cuisine, Rice Dishes",4.55,2
"Cuisine from Lazio, Traditional Cuisine",4.55,4
"Japanese, Udon",4.55,2
"Mediterranean Cuisine, American Contemporary",4.55,2
Lao,4.55,2
Campanian,4.55,4
"Alpine, Contemporary",4.55,2
"Deli, American",4.55,2
"Modern Cuisine, Ligurian",4.55,2
"Italian Contemporary, Asian Influences",4.55,2
"Modern Cuisine, Finnish",4.55,2
Traditional British,4.549090909090910,55
"Seafood, Italian",4.545454545454550,11
Mediterranean Cuisine,4.545089285714290,227
"Turkish, Modern Cuisine",4.544444444444440,9
Piedmontese,4.54375,17
"Mediterranean Cuisine, Modern Cuisine",4.543243243243240,37
"Contemporary, Traditional Cuisine",4.542857142857140,14
"Modern French, International",4.542857142857140,7
"Regional Cuisine, Country cooking",4.542857142857140,7
Provençal,4.542857142857140,35
Traditional Cuisine,4.5412483039348700,742
"Thai, Regional Cuisine",4.540000000000000,5
"French, Farm to table",4.54,5
"Italian Contemporary, Country cooking",4.54,5
"Venetian, Modern Cuisine",4.54,5
"Classic French, Mediterranean Cuisine",4.54,5
"Contemporary, Farm to table",4.54,10
"Austrian, Traditional Cuisine",4.54,5
"French, American",4.54,5
Brazilian,4.538888888888890,18
Argentinian,4.5375,8
"Mediterranean Cuisine, Sardinian",4.533333333333330,3
"Regional Cuisine, Alpine",4.533333333333330,6
"Grills, Meats and Grills",4.533333333333330,3
"Korean, Regional Cuisine",4.533333333333330,3
"Chinese, Taiwanese",4.533333333333330,3
"French, Mediterranean Cuisine",4.533333333333330,3
Croatian,4.533333333333330,3
"Contemporary, Bakery",4.533333333333330,3
"Contemporary, Japanese Contemporary",4.533333333333330,3
"Sushi, Contemporary",4.533333333333330,3
"Asian, American",4.533333333333330,3
"Fusion, Contemporary",4.533333333333330,6
"French, Traditional Cuisine",4.533333333333330,6
"Seafood, International",4.533333333333330,3
"Vietnamese, Contemporary",4.533333333333330,3
Beijing Cuisine,4.530769230769230,15
"Contemporary, Italian",4.530769230769230,13
"Traditional Cuisine, Modern Cuisine",4.529629629629630,28
"Italian, Mediterranean Cuisine",4.529166666666670,24
Gastropub,4.5285714285714300,7
"Modern French, Creative",4.526666666666670,15
"Italian Contemporary, Italian",4.525,4
"Italian, Traditional Cuisine",4.525,4
Rice Dishes,4.525,4
Venetian,4.525,4
Apulian,4.525,4
"International, Asian",4.525,4
"Asian, Fusion",4.5250000000000000,8
Greek,4.5250000000000000,24
"Alpine, Modern Cuisine",4.5250000000000000,4
"Italian Contemporary, Creative",4.5227272727272700,22
"Mexican, Contemporary",4.522222222222220,36
"Farm to table, Traditional Cuisine",4.522222222222220,9
"Seafood, Mediterranean Cuisine",4.522222222222220,27
European Contemporary,4.522077922077920,79
"Italian, Classic Cuisine",4.521739130434780,23
"French, International",4.5200000000000000,5
"Traditional Cuisine, Grills",4.5200000000000000,5
Southern Thai,4.519230769230770,27
World Cuisine,4.51875,16
Asian Influences,4.5181818181818200,11
American,4.518055555555560,72
Meats and Grills,4.516901408450700,71
"Mediterranean Cuisine, International",4.516666666666670,6
"Spanish, Contemporary",4.514285714285710,7
"Traditional Cuisine, French",4.514285714285710,7
"Seafood, Mexican",4.514285714285710,7
Kushiage,4.514285714285710,7
Californian,4.511111111111110,36
Teppanyaki,4.51,10
Korean,4.508333333333330,36
Vegetarian,4.506666666666670,52
Sushi,4.5062992125984200,128
"Israeli, Modern Cuisine",4.5,1
"Fusion, Vietnamese",4.5,2
"Israeli, Middle Eastern",4.5,3
"Peruvian, Fusion",4.5,2
"Creative French, Traditional Cuisine",4.5,2
"Contemporary, Catalan",4.5,2
"Tuscan, Traditional Cuisine",4.5,16
"Thai, Californian",4.5,3
"American Contemporary, Regional Cuisine",4.5,1
Organic,4.5,7
"Contemporary, Castilian",4.5,1
Sardinian,4.5,2
"Country cooking, French",4.5,1
"Indonesian, Thai and Vietnamese",4.5,1
"Thai, Japanese",4.5,1
"Piedmontese, Mediterranean Cuisine",4.5,1
"Meats and Grills, Classic Cuisine",4.5,4
"Mantuan, Seasonal Cuisine",4.5,1
"Peruvian, Japanese",4.5,1
"Spanish Contemporary, Creative",4.5,1
"Contemporary, Ligurian",4.5,1
"Cuisine from Romagna, Seasonal Cuisine",4.5,1
"Vietnamese, Noodles",4.5,1
"Italian, Farm to table",4.5,2
"Seafood, Ligurian",4.5,4
"Creative French, Regional Cuisine",4.5,1
"Seafood, Cuisine from the Marches",4.5,2
"Venezuelan, Small eats",4.5,1
Eastern European,4.5,3
"Thai-Chinese, Southern Thai",4.5,1
"International, Asian and Western",4.5,1
"Traditional Cuisine, Piedmontese",4.5,2
"Creative French, Country cooking",4.5,1
Burmese,4.5,4
"Contemporary, Meats and Grills",4.5,2
"Japanese, Curry",4.5,1
"Cuisine from the Marches, Creative",4.5,1
"Californian, Farm to table",4.5,1
"Taiwanese, Asian",4.5,1
"Emilian, Home Cooking",4.5,1
"Modern French, Classic French",4.5,3
"Classic French, Meats and Grills",4.5,1
"American, Asian",4.5,1
"Meats and Grills, Modern Cuisine",4.5,1
"Modern French, Modern Cuisine",4.5,6
"Italian, Pizza",4.5,8
"Ethiopian, Fusion",4.5,1
"Malaysian, Indonesian",4.5,1
"Italian, Vegetarian",4.5,1
"Steakhouse, Seafood",4.5,2
"Piedmontese, Italian Contemporary",4.5,1
"Traditional Cuisine, Apulian",4.5,1
"Malaysian, Californian",4.5,1
"Balkan, International",4.5,1
"French, Creative French",4.5,1
Afghan,4.5,2
"Italian, Provençal",4.5,1
"Austrian, Country cooking",4.5,1
"Asian Contemporary, Peruvian",4.5,1
"Danish, Seasonal Cuisine",4.5,1
"Meats and Grills, Modern French",4.5,1
"Filipino, Contemporary",4.5,3
"Grills, Classic Cuisine",4.5,2
Shojin,4.5,2
Czech,4.5,1
"Italian, Tuscan",4.5,2
"Cuisine from Valtellina, Lombardian",4.5,1
"American, American Contemporary",4.5,4
"Balkan, Traditional Cuisine",4.5,1
"Ethiopian, American",4.5,1
"Japanese, Sukiyaki",4.5,1
"Asian and Western, International",4.5,1
"Fusion, Ramen",4.5,1
"Apulian, Modern Cuisine",4.5,10
"Rice Dishes, Traditional Cuisine",4.5,1
"Japanese, Onigiri",4.5,1
"French, Regional Cuisine",4.5,3
"Austrian, Classic Cuisine",4.5,2
"Steakhouse, Californian",4.5,1
"Tuscan, Regional Cuisine",4.5,2
"Country cooking, Bavarian",4.5,1
"Korean, Vegetarian",4.5,1
"German, Contemporary",4.5,2
"Fusion, Peruvian",4.5,1
"American, Grills",4.5,1
"French, Belgian",4.5,3
"Regional Cuisine, Mexican",4.5,1
"Contemporary, Greek",4.5,2
"Seafood, North American",4.5,1
"Californian, Vegetarian",4.5,1
"Greek, Seafood",4.5,3
"Israeli, Contemporary",4.5,1
"Vegetarian, Seafood",4.5,1
"Mediterranean Cuisine, American",4.5,2
"Cuisine from Abruzzo, Seafood",4.5,1
"Cuisine from Abruzzo, Meats and Grills",4.5,1
"Umbrian, Modern Cuisine",4.5,1
"Contemporary, Country cooking",4.5,3
"Sri Lankan, South Indian",4.5,1
"Mediterranean Cuisine, French",4.5,1
"English, Contemporary",4.5,1
"Meats and Seafood, Grills",4.5,1
"Rice Dishes, Seafood",4.5,1
"Brazilian, Grills",4.5,1
"Spanish, Mediterranean Cuisine",4.5,2
"Modern Cuisine, Piedmontese",4.5,2
Cuisine from Romagna,4.5,1
"Italian Contemporary, Venetian",4.5,1
"South Indian, Sri Lankan",4.5,1
"Roman, Traditional Cuisine",4.5,2
"Traditional Cuisine, Fusion",4.5,1
"International, Asian Influences",4.5,3
"Emilian, Traditional Cuisine",4.5,13
"Contemporary, Vietnamese",4.5,1
Duck Specialities,4.5,1
"French, Seafood",4.5,2
"Seafood, Catalan",4.5,1
"Contemporary, Japanese",4.5,1
"Southern, Regional Cuisine",4.5,2
"Mediterranean Cuisine, Catalan",4.5,1
"American, Mexican",4.5,1
"Seafood, Cuisine from Romagna",4.5,1
"Calabrian, Traditional Cuisine",4.5,3
"Classic Cuisine, Home Cooking",4.5,1
"Pizza, American",4.5,2
"Indian, Fusion",4.5,1
"Mediterranean Cuisine, Fusion",4.5,2
"Fusion, International",4.5,2
"Vegan, Innovative",4.5,2
"Vietnamese, Cambodian",4.5,1
"Cuban, American",4.5,1
German,4.5,3
"Modern Cuisine, Grills",4.5,2
"Vegan, Creative",4.5,1
"South American, Mediterranean Cuisine",4.5,1
"Steakhouse, Regional Cuisine",4.5,1
"African, Caribbean",4.5,1
"Tuscan, Italian Contemporary",4.5,1
"Farm to table, Seafood",4.5,1
"Barbecue, Grills",4.5,1
"Indian, Pakistani",4.5,1
"Filipino, Fusion",4.5,1
"Barbecue, Tex-Mex",4.5,1
"Swiss, Mediterranean Cuisine",4.5,2
"Modern Cuisine, Balkan",4.5,1
"Traditional Cuisine, Sharing",4.5,1
"Seafood, Classic French",4.5,1
"Cuisine from the Aosta Valley, Italian",4.5,2
"Meats and Grills, Barbecue",4.5,3
"Mediterranean Cuisine, Spanish",4.5,1
"Traditional Cuisine, Belgian",4.5,1
"Contemporary, Apulian",4.5,2
"Pizza, Italian-American",4.5,1
"Cuisine from the Aosta Valley, Traditional Cuisine",4.5,1
"Modern Cuisine, Pizza",4.5,1
"Beef, Farm to table",4.5,1
"Peruvian, Contemporary",4.5,1
"Emilian, Meats and Grills",4.5,1
"Turkish, Grills",4.5,1
"Seafood, Californian",4.5,1
"Thai, Lao",4.5,1
Russian,4.5,1
"Swedish, Small eats",4.5,1
"Lamb Specialities, Regional European",4.5,1
"Scottish, Traditional Cuisine",4.5,1
"Cuban, Latin American",4.5,1
"Mediterranean Cuisine, Gastropub",4.5,1
"Tuscan, Grills",4.5,1
"Contemporary, Tuscan",4.5,3
"Contemporary, European Contemporary",4.5,1
"Modern Cuisine, Sushi",4.5,1
"Emilian, Classic Cuisine",4.5,3
"Lombardian, Contemporary",4.5,2
"Vietnamese, Modern Cuisine",4.5,1
"International, Steakhouse",4.5,1
"Pizza, Sharing",4.5,1
"Californian, Asian Contemporary",4.5,1
"Modern French, Home Cooking",4.5,1
"American, Bakery",4.5,1
"French, German",4.5,1
"Cuisine from Romagna, Traditional Cuisine",4.5,3
"French, European Contemporary",4.5,1
"American, International",4.5,1
"Californian, American",4.5,1
"Seafood, Vegetarian",4.5,1
"Japanese, Peruvian",4.5,2
"Italian Contemporary, Classic Cuisine",4.5,1
"Lombardian, Modern Cuisine",4.5,2
"Creative, North African",4.5,1
"Italian, Contemporary",4.496666666666670,30
Turkish,4.495833333333330,24
European,4.495652173913040,25
French,4.493698630136990,371
Japanese Contemporary,4.493333333333330,45
"French, Contemporary",4.493181818181820,45
Middle Eastern,4.492857142857140,28
"Contemporary, Seafood",4.488888888888890,18
Italian,4.4877403846153800,418
Galician,4.4875,8
"Traditional Cuisine, Classic French",4.4875,8
"Seafood, Contemporary",4.486363636363640,23
"Californian, Contemporary",4.485714285714290,14
"Cuisine from Abruzzo, Traditional Cuisine",4.485714285714290,7
Lebanese,4.485714285714290,14
"International, Mediterranean Cuisine",4.484615384615390,13
Mexican,4.482608695652170,116
"Japanese, Fusion",4.4818181818181800,11
Steakhouse,4.48,56
"Contemporary, Modern French",4.4800000000000000,5
"Seafood, American",4.4800000000000000,5
"Mediterranean Cuisine, Seasonal Cuisine",4.4800000000000000,10
Corsican,4.4800000000000000,5
"Seafood, Regional Cuisine",4.477777777777780,9
Chao Zhou,4.4750000000000000,17
Taiwanese contemporary,4.475,8
Emilian,4.475,20
Tuscan,4.475,24
"Traditional Cuisine, Seafood",4.475,4
"Mediterranean Cuisine, Country cooking",4.475,4
"Italian, Italian-American",4.4714285714285700,7
Zhejiang,4.470000000000000,21
"Mexican, Regional Cuisine",4.46875,32
Chinese Contemporary,4.46875,16
"Asian, Chinese",4.466666666666670,3
Alsatian,4.466666666666670,6
"Venetian, Seafood",4.466666666666670,3
"Modern Cuisine, Tuscan",4.466666666666670,3
"Vietnamese, Regional Cuisine",4.466666666666670,3
Basque,4.466666666666670,18
Swedish,4.466666666666670,3
"Mediterranean Cuisine, Grills",4.466666666666670,3
"Chinese, Asian Contemporary",4.466666666666670,3
"Traditional Cuisine, Home Cooking",4.466666666666670,3
"Contemporary, French Contemporary",4.466666666666670,3
"Korean, Steakhouse",4.466666666666670,3
"Farm to table, Classic French",4.466666666666670,3
"Ligurian, Classic Cuisine",4.466666666666670,3
"Contemporary, Asian",4.466666666666670,3
Indian,4.464102564102560,117
Catalan,4.463636363636360,11
Seafood,4.4633802816901400,363
"Seafood, Seasonal Cuisine",4.4625,8
"American, Southern",4.46,5
Tex-Mex,4.46,5
Israeli,4.46,5
"Asian, Contemporary",4.460000000000000,5
Northern Thai,4.458823529411770,17
Grills,4.458333333333330,25
"Japanese, Izakaya",4.457142857142860,7
"Vegetarian, Contemporary",4.457142857142860,7
Persian,4.457142857142860,7
Lyonnaise,4.457142857142860,7
"Italian, Regional Cuisine",4.457142857142860,14
"Contemporary, International",4.45625,16
Hang Zhou,4.453846153846150,16
"American, Italian",4.45,4
Austrian,4.45,16
"French Contemporary, Creative",4.45,2
Yakitori,4.45,33
"Mediterranean Cuisine, Sicilian",4.45,2
"Mexican, Modern Cuisine",4.45,2
"Traditional Cuisine, Lyonnaise",4.45,2
"Sicilian, Creative",4.45,2
"Meats and Grills, International",4.45,4
"Seafood, Asian Influences",4.45,2
"Thai, Southern Thai",4.45,2
"Seafood, Classic Cuisine",4.45,38
"Campanian, Home Cooking",4.45,2
Indian Vegetarian,4.45,4
"Ligurian, Modern Cuisine",4.45,4
"Classic Cuisine, Seafood",4.45,6
"Emilian, Seasonal Cuisine",4.45,2
"Barbecue, Mexican",4.45,2
"Traditional British, Mediterranean Cuisine",4.45,2
"American, Contemporary",4.45,22
"American, Regional Cuisine",4.45,6
"Regional Cuisine, Italian Contemporary",4.45,2
Deli,4.45,4
"Organic, Modern Cuisine",4.450000000000000,2
"Sicilian, Classic Cuisine",4.450000000000000,2
"Creative, Andalusian",4.450000000000000,2
"Cantonese, Chinese Contemporary",4.450000000000000,2
"Contemporary, Sicilian",4.450000000000000,2
"Californian, Mediterranean Cuisine",4.450000000000000,2
Portuguese,4.450000000000000,18
"German, Modern Cuisine",4.450000000000000,2
Peruvian,4.448275862068970,29
Asian,4.447916666666670,48
Spanish Contemporary,4.442857142857140,7
"Classic Cuisine, Italian",4.442857142857140,14
"Greek, Mediterranean Cuisine",4.442857142857140,7
Hunanese,4.442857142857140,11
"Japanese Contemporary, Fusion",4.44,5
Emirati Cuisine,4.4400000000000000,5
"Mexican, Californian",4.4400000000000000,5
"Chinese, Dumplings",4.4400000000000000,5
"Traditional Cuisine, Farm to table",4.4400000000000000,15
Fujian,4.4375,49
"Umbrian, Contemporary",4.433333333333330,3
"Modern Cuisine, Alsatian",4.433333333333330,3
"Italian, Californian",4.433333333333330,6
"Thai, Asian",4.433333333333330,3
Sri Lankan,4.433333333333330,6
"Chinese, Regional Cuisine",4.433333333333330,9
"Seafood, Venetian",4.433333333333330,3
"Grills, Turkish",4.433333333333330,3
"Campanian, Modern Cuisine",4.433333333333330,3
"Mediterranean Cuisine, Turkish",4.433333333333330,3
"Creative, Mexican",4.433333333333330,3
"Seasonal Cuisine, Traditional Cuisine",4.433333333333330,3
Yunnanese,4.433333333333330,6
"Pizza, Italian",4.433333333333330,6
"Peruvian, Latin American",4.433333333333330,3
Spanish,4.43235294117647,69
"Venetian, Seasonal Cuisine",4.428571428571430,7
"American, Californian",4.425,4
"Asian, Japanese",4.425,4
"Contemporary, North American",4.425,8
"Classic Cuisine, Belgian",4.425,4
"Chinese, Shanghainese",4.425,4
"Venetian, Traditional Cuisine",4.422222222222220,9
Innovative,4.419101123595510,91
"Thai, Contemporary",4.416666666666670,6
"Italian, Seafood",4.416666666666670,6
Isan,4.413636363636360,23
Sichuan,4.4135135135135100,52
Thai,4.4117021276595700,190
Pizza,4.410344827586210,29
Barbecue,4.408163265306120,51
"Traditional Cuisine, Cuisine from Franche-Comté",4.4,1
"Cuisine from Lazio, Classic Cuisine",4.4,1
"Regional Cuisine, Rice Dishes",4.4,1
"Meats and Grills, Mediterranean Cuisine",4.4,1
"Italian, Sardinian",4.4,1
"Portuguese, Californian",4.4,1
"Moroccan, Regional Cuisine",4.4,1
"Meats and Grills, American",4.4,1
"Scandinavian, Swedish",4.4,1
"Chinese, French",4.4,1
"Provençal, Mediterranean Cuisine",4.4,2
"Organic, Vegetarian",4.4,2
"Rice Dishes, Farm to table",4.4,1
"Mexican, International",4.4,1
"Asian Influences, Turkish",4.4,1
"Asian, Sichuan",4.4,1
"Seafood, Apulian",4.4,1
"European, International",4.4,1
"Modern French, Traditional Cuisine",4.4,1
"French Contemporary, Japanese",4.4,1
"Traditional Cuisine, Argentinian",4.4,1
"Sicilian, Seafood",4.4,2
"Creative, World Cuisine",4.4,2
"South East Asian, Seafood",4.4,1
"Asian and Western, World Cuisine",4.4,1
"Asian, Dim Sum",4.4,1
"Seafood, Oyster Specialities",4.4,2
"Korean, Beef",4.4,1
"Italian-American, Regional Cuisine",4.4,1
"Peruvian, Japanese Contemporary",4.4,2
"Traditional Cuisine, Tuscan",4.4,1
"Tuscan, Classic Cuisine",4.4,4
"Izakaya, Barbecue",4.4,1
"Brazilian, Pork",4.4,1
"World Cuisine, Modern French",4.4,1
"Basque, Spanish",4.4,1
"Seasonal Cuisine, Innovative",4.4,1
"Cantonese, Asian",4.4,1
"Farm to table, Home Cooking",4.4,1
"International, Mexican",4.4,1
"Japanese Contemporary, Korean",4.4,1
"Traditional Cuisine, Turkish",4.4,1
"Contemporary, Grills",4.4,1
"Creole, Cajun",4.4,1
"World Cuisine, Fusion",4.4,1
"Italian Contemporary, Vegan",4.4,1
"Contemporary, Basque",4.4,1
"Vietnamese, Vegetarian",4.4,1
"Asian, Ramen",4.4,1
"Italian Contemporary, Contemporary",4.4,1
"Persian, Regional Cuisine",4.4,2
"Alpine, Seasonal Cuisine",4.4,1
"Piedmontese, Farm to table",4.4,1
"Contemporary, European",4.4,1
"Traditional Cuisine, Modern French",4.4,2
"Bakery, American",4.4,1
"Thai, Fusion",4.4,1
"Italian, Roman",4.4,2
"Mediterranean Cuisine, Rice Dishes",4.4,1
"Italian Contemporary, Grills",4.4,1
"Singaporean, Contemporary",4.4,1
"Apulian, Country cooking",4.4,1
"Regional Cuisine, Seafood",4.4,2
"Traditional Cuisine, Catalan",4.4,1
"Classic Cuisine, Alpine",4.4,1
"Caribbean, Latin American",4.4,1
"Regional Cuisine, Swedish",4.4,1
"South East Asian, Vietnamese",4.4,1
"Cuisine from Lazio, Home Cooking",4.4,1
"Portuguese, Asian Influences",4.4,1
"Milanese, Lombardian",4.4,1
"Cuisine from South West France, Country cooking",4.4,1
"Farm to table, German",4.4,2
"Asian Contemporary, Dim Sum",4.4,1
"French Contemporary, Sharing",4.4,1
"Home Cooking, Grills",4.4,1
"Californian, French",4.4,1
Savoyard,4.4,2
"Belgian, Traditional Cuisine",4.4,1
"Indonesian, South East Asian",4.4,1
"Modern Cuisine, Calabrian",4.4,1
"Italian, French",4.4,1
"Seafood, Traditional Cuisine",4.4,13
"Korean, Seasonal Cuisine",4.4,1
"Steakhouse, Italian Contemporary",4.4,1
"Argentinian, Steakhouse",4.4,1
"Vegetarian, French",4.4,1
"Modern Cuisine, Sharing",4.4,1
"Brazilian, Modern Cuisine",4.4,1
Yukhoe,4.4,1
"Small eats, Congee",4.4,1
"Thai, South East Asian",4.4,1
Cuisine from Basilicata,4.4,2
"Asian, Singaporean",4.4,1
"Spanish, Rice Dishes",4.4,1
"Russian, Turkish",4.4,1
"Pizza, Californian",4.4,1
"Emilian, Country cooking",4.4,4
"Roman, Classic Cuisine",4.4,1
"Mediterranean Cuisine, Traditional British",4.4,1
"Bavarian, International",4.4,1
"Smørrebrød, Seasonal Cuisine",4.4,1
Caribbean,4.4,1
"Lebanese, Vegetarian",4.4,1
Crab Specialities,4.4,1
"Meats and Grills, Country cooking",4.4,1
"Fusion, Mediterranean Cuisine",4.4,2
"Vegan, Southern",4.4,1
"Alsatian, Country cooking",4.4,2
"American, Classic Cuisine",4.4,1
"Isan, Thai",4.4,1
"Turkish, Traditional Cuisine",4.4000000000000000,6
Sicilian,4.4000000000000000,4
"Japanese, Traditional Cuisine",4.4000000000000000,3
Andalusian,4.4000000000000000,3
"Fusion, Asian Contemporary",4.4000000000000000,3
"Tuscan, Country cooking",4.4000000000000000,3
"Campanian, Seafood",4.4000000000000000,3
"Creative, Alpine",4.4000000000000000,3
Izakaya,4.393939393939390,33
"Steakhouse, American",4.390909090909090,11
Tonkatsu,4.385714285714290,15
Taizhou,4.384615384615390,13
Southern,4.383333333333330,6
"Indian, Regional Cuisine",4.381818181818180,11
Vietnamese,4.38,71
Congee,4.375,5
"Classic Cuisine, French",4.375,4
"Japanese, Soba",4.375,4
Chinese,4.367647058823530,106
"Seafood, Farm to table",4.366666666666670,3
"Italian, Sicilian",4.366666666666670,6
"Mediterranean Cuisine, Italian",4.366666666666670,9
