cuisine_type,google_rating,total_restaurants
"Vegetarian, Seasonal Cuisine",4.75,2
"Ligurian, Contemporary",4.75,2
"Provençal, Modern Cuisine",4.75,2
"Classic Cuisine, Contemporary",4.75,8
"French, Country cooking",4.75,2
"Creative French, Modern Cuisine",4.75,4
Irish,4.75,2
"Creative, French Contemporary",4.75,2
"French Contemporary, Modern French",4.75,2
"Creative French, Seasonal Cuisine",4.75,2
"Modern Cuisine, European",4.75,2
Japanese Steakhouse,4.75,2
"Italian Contemporary, Tuscan",4.75,2
"Creative, Portuguese",4.75,2
"Organic, Country cooking",4.75,2
"Modern Cuisine, Regional European",4.75,2
"Modern French, Asian Influences",4.75,2
"Modern Cuisine, Swedish",4.75,2
"Sushi, Japanese",4.75,6
"Organic, Farm to table",4.75,2
"Classic Cuisine, Modern French",4.75,2
"Creative French, Modern French",4.74,5
"Seasonal Cuisine, Creative",4.74,5
"Classic Cuisine, Modern Cuisine",4.7375,16
"Creative, Creative French",4.733333333333330,3
"Country cooking, Italian Contemporary",4.733333333333330,3
"Czech, Contemporary",4.733333333333330,3
African,4.733333333333330,4
"Modern Cuisine, Austrian",4.733333333333330,3
"Modern Cuisine, Scandinavian",4.733333333333330,3
"Creative, Farm to table",4.733333333333330,15
"Tempura, Japanese",4.733333333333330,3
"Contemporary, Italian Contemporary",4.728571428571430,8
"Classic French, Seasonal Cuisine",4.728571428571430,7
"Modern British, Regional Cuisine",4.725,4
"Creative, Sicilian",4.725,4
"Contemporary, Seasonal Cuisine",4.723809523809520,21
"Creative, Modern French",4.723076923076920,14
"Creative, International",4.721428571428570,14
"Regional Cuisine, Modern Cuisine",4.721052631578950,19
"Mediterranean Cuisine, Regional Cuisine",4.720000000000000,5
"Modern Cuisine, Regional Cuisine",4.717391304347830,23
"Farm to table, Modern French",4.716666666666670,6
"Farm to table, Seasonal Cuisine",4.706896551724140,29
"Farm to table, International",4.704761904761910,21
"Asian Influences, Regional Cuisine",4.7,1
"Gastropub, English",4.7,1
"Italian, Steakhouse",4.7,1
"Swiss, Regional Cuisine",4.7,1
"Mantuan, Modern Cuisine",4.7,1
"Mantuan, Italian Contemporary",4.7,1
"Swiss, Traditional Cuisine",4.7,2
"Japanese, Korean",4.7,1
